연번,수송일자,호선,고유역번호(외부역코드),역명,승하차구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
1,2022-01-01,2,218,종합운동장,승차,37,72,60,82,120,127,142,141,201,230,217,242,170,185,124,97,937,359,35,0
2,2022-01-01,2,218,종합운동장,하차,20,77,61,104,104,111,143,139,173,210,202,233,490,839,155,143,242,140,68,0
3,2022-01-02,2,218,종합운동장,승차,25,57,64,148,181,232,192,282,327,326,242,300,198,202,143,114,835,389,27,0
4,2022-01-02,2,218,종합운동장,하차,38,117,81,164,224,225,208,209,263,269,269,323,497,902,227,205,268,151,68,0
5,2022-01-03,2,218,종합운동장,승차,54,218,657,866,607,356,291,277,329,372,306,387,467,702,310,199,552,95,39,0
6,2022-01-03,2,218,종합운동장,하차,41,197,381,754,487,314,247,285,295,340,371,339,605,1134,624,360,435,251,73,0
7,2022-01-04,2,218,종합운동장,승차,41,202,606,894,628,392,294,309,331,381,350,360,521,686,304,177,297,102,40,0
8,2022-01-04,2,218,종합운동장,하차,52,195,361,763,451,311,218,291,283,296,338,321,546,1034,653,399,518,209,101,0
9,2022-01-05,2,218,종합운동장,승차,56,195,616,846,629,350,311,319,327,400,298,362,504,726,309,210,327,105,41,0
10,2022-01-05,2,218,종합운동장,하차,41,212,365,699,445,386,236,266,282,304,301,314,5+S10:X1165,1011,638,342,515,272,110,0
11,2022-01-06,2,218,종합운동장,승차,45,193,638,854,664,415,325,318,335,485,340,429,522,702,302,184,310,114,36,0
12,2022-01-06,2,218,종합운동장,하차,51,202,380,715,505,291,218,294,339,300,334,390,590,965,692,362,554,317,123,0
13,2022-01-07,2,218,종합운동장,승차,45,195,580,846,642,396,300,376,338,448,382,440,566,720,337,362,489,116,69,0
14,2022-01-07,2,218,종합운동장,하차,41,205,356,681,440,315,226,308,318,358,397,417,705,1274,743,386,579,236,131,0
15,2022-01-08,2,218,종합운동장,승차,30,99,123,212,291,270,313,357,377,428,380,849,495,262,191,191,144,72,37,0
16,2022-01-08,2,218,종합운동장,하차,41,191,179,277,277,246,247,312,427,849,363,388,363,340,276,230,303,214,84,0
17,2022-01-09,2,218,종합운동장,승차,47,57,58,142,196,217,218,306,307,399,283,674,463,212,163,127,152,69,28,0
